Workflow,Molecule,Geometry_Param,E_FCI,E_CISD,V_Identity,V_Optimized,a,b,c,Sum_CommSq_Identity,Sum_CommSq_Optimized,Sum_Sexp_Identity,Sum_Sexp_Optimized,Coarse_Entropy_Identity,Coarse_Entropy_Optimized,Fine_Entropy_Identity,Fine_Entropy_Optimized,Edec_Identity,Edec_Optimized,Ecoupled_Identity,Ecoupled_Optimized,Kcoupled_Identity,Kcoupled_Optimized,EBO_Identity,EBO_Optimized,NumSectors_Identity,NumSectors_Optimized,QUBO_E0_Identity,QUBO_E0_Optimized,QUBO_Eadd_Identity,QUBO_Eadd_Optimized,QUBO_Eremove_Identity,QUBO_Eremove_Optimized,QUBO_Eexcite_Identity,QUBO_Eexcite_Optimized,QUBO_GapAdd_Identity,QUBO_GapAdd_Optimized,QUBO_GapRemove_Identity,QUBO_GapRemove_Optimized,QUBO_GapExcite_Identity,QUBO_GapExcite_Optimized
fixed_abc,h4_linear,0.6,-1.9601936448939314,-1.9600816088821291,0.002003901246581244,0.0018972940483860511,0.40824829046386285,0.4082482904638628,-0.8164965809277263,0.024603538861584437,0.017290394821914048,0.004923379984004286,0.004660732045498473,0.020959825949953017,0.03245660703956487,0.023996406643839972,0.038564808935438274,-1.9498182453425161,-1.9476530816488733,-1.9601381301902738,-1.9596829784464351,46,46,-1.9498182453425164,-1.947653081648873,3,3,-1.929564248452015,-1.9294910273608674,-1.2416873837781588,-1.241893747550137,-1.48811766960015,-1.2525784232609127,-1.2141887380308778,-1.0011905103077172,0.6878768646738562,0.6875972798107304,-0.4414465788518651,-0.6769126040999547,0.7153755104211372,0.9283005170531502
fixed_abc,h4_linear,1.088888888888889,-2.1415815156877995,-2.1393848193663834,0.017455273876872922,0.009960945236308005,0.40824829046386285,0.4082482904638628,-0.8164965809277263,0.05146284538298801,0.010863165494223689,0.04393877043111883,0.024780027521212902,0.12518804184015772,0.11571933326365152,0.16278896454857794,0.12722415212403118,-2.100887639719434,-2.1244340408269937,-2.141511221339122,-2.1406174226135803,60,45,-2.1008876397194354,-2.124434040826996,3,3,-2.061329870892475,-2.0612608060904476,-1.806780929599698,-1.5687709345756402,-1.6947456646202728,-1.5888313824468852,-1.7342245371456473,-1.35790747074737,0.2545489412927773,0.4924898715148074,-0.36658420627220245,-0.47242942364356244,0.32710533374682793,0.7033533353430776
fixed_abc,h4_linear,1.577777777777778,-1.9735101698927318,-1.954673890041178,0.06868073753829765,0.02806619378123595,0.40824829046386285,0.4082482904638628,-0.8164965809277263,0.11512004073856591,0.007086888241262144,0.19044252026241737,0.07191843091213716,0.3704915963574204,0.2436748761906012,0.5453522934371615,0.25991030023175266,-1.9164430755298594,-1.9536575517498822,-1.9725294909471551,-1.9732366359983589,63,45,-1.9164430755298605,-1.9536575517498822,3,3,-1.7846527713481268,-1.784004422821065,-1.6667149068410272,-1.5697946185712974,-1.497522983762804,-1.440637386220134,-1.6066917288974623,-1.4149627864067402,0.11793786450709964,0.21420980424976754,-0.2871297875853229,-0.34336703660093093,0.17796104245066457,0.36904163641432475
fixed_abc,h4_linear,2.066666666666667,-1.8917227071300196,-1.8502319835548324,0.11404993741294193,0.034246923345543745,0.40824829046386285,0.4082482904638628,-0.8164965809277263,0.18210871987007854,0.006016275993838216,0.35773007168662785,0.8346211434409545,0.5545490230744277,0.3808895007954357,0.8285094602230194,0.4320585741917444,-1.878922002133638,-1.870116354786735,-1.8917227071300187,-1.8911363452757122,69,26,-1.8789220021336352,-1.8701163547867352,3,3,-1.5485090794263658,-1.5545630004226891,-1.492279584526082,-1.4209633765756233,-1.3186541402237306,-1.2653494481608767,-1.4470410583252111,-1.5545630004226891,0.05622949490028395,0.1335996238470658,-0.22985493920263522,-0.28921355226181245,0.10146802110115472,0.0
fixed_abc,h4_linear,2.555555555555556,-1.871175623886586,-1.8625824658497598,0.12540253901128223,0.023772412350386567,0.40824829046386285,0.4082482904638628,-0.8164965809277263,0.21950086617826425,0.0011462190898770407,0.41022519155458814,0.8643410642467493,0.5906703138469636,0.28306161127589946,1.0794827249658066,0.2920180237805366,-1.8687863873091584,-1.8671323560845248,-1.8711756238865878,-1.8711384068131527,69,29,-1.868786387309153,-1.8671323560845234,3,3,-1.396131562010718,-1.563187864115518,-1.3715245476403957,-1.4189820096030248,-1.203261328581239,-1.2597174792696983,-1.3351220854899257,-1.563187864115518,0.02460701437032231,0.14420585451249313,-0.19287023342947895,-0.30347038484581956,0.06100947652079225,0.0
fixed_abc,h4_linear,3.0444444444444447,-1.8671422753389046,-1.8657570632451856,0.1259642870383244,0.0213163233619751,0.40824829046386285,0.4082482904638628,-0.8164965809277263,0.23993857735726892,0.00019514819988777476,0.4129999720341067,0.8701075560258992,0.579750464252123,0.25371824074451094,0.8444659430526671,0.25510689938028946,-1.866756598558296,-1.866489144972414,-1.8667565985582926,-1.866489144972415,1,1,-1.8667565985582926,-1.866489144972415,3,3,-1.307165888764612,-1.5592152765868992,-1.300567530482156,-1.411284145272146,-1.1372102637079586,-1.2511873312839303,-1.2673166032994563,-1.5592152765868992,0.006598358282456029,0.1479311313147531,-0.1699556250566534,-0.30802794530296884,0.03984928546515576,0.0
fixed_abc,h4_linear,3.5333333333333337,-1.866445532616194,-1.8662550271383826,0.12532829943924917,0.020898395785930085,0.40824829046386285,0.4082482904638628,-0.8164965809277263,0.25151132464399284,2.7969398507921116e-05,0.40985980347976825,0.8710462454103611,0.5681918985258839,0.2471357703504739,0.6502464228135786,0.2473309779995616,-1.8663924798612348,-1.866355677315563,-1.8663924798612357,-1.8663556773155618,1,1,-1.8663924798612355,-1.8663556773155623,3,3,-1.2573381588682444,-1.5521715540699066,-1.2624458218829544,-1.4039326788058941,-1.1019318860421272,-1.2445742753347768,-1.2283310532166734,-1.5521715540699066,-0.0051076630147099955,0.14823887526401247,-0.1554062728261172,-0.30759727873512976,0.029007105651571052,0.0
fixed_abc,h4_linear,4.022222222222222,-1.8663421905468556,-1.866319640561381,0.1250654790859197,0.02084073373260395,0.40824829046386285,0.4082482904638628,-0.8164965809277263,0.25819353670805884,3.3557139306938863e-06,0.4085691972899691,0.8711749771652243,0.5636386638760724,0.24596651927036078,0.6133163942541244,0.2459904319153924,-1.8663359105765724,-1.8663315536563159,-1.866335910576574,-1.8663315536563156,1,1,-1.8663359105765742,-1.8663315536563152,3,3,-1.2287663051519286,-1.5446901615361155,-1.2425629331135097,-1.4055032641285734,-1.0833274409338107,-1.2466294238778708,-1.2054569502450792,-1.5446901615361155,-0.013796627961581098,0.1391868974075421,-0.1454388642181179,-0.2980607376582447,0.02330935490684949,0.0
fixed_abc,h4_linear,4.511111111111111,-1.8663289799830953,-1.8663273822118336,0.16666645584928408,1.3639302543777543e-06,0.40824829046386285,0.4082482904638628,-0.8164965809277263,0.0003808137279280735,5.892847735141369e-07,0.815578354705587,1.6329896494606664,0.7173560034643173,5.4856814724270204e-05,0.7174242360571981,5.713175798057133e-05,-1.8663283445997116,-1.8663266984669347,-1.866328344599714,-1.8663266984669384,1,1,-1.866328344599714,-1.8663266984669389,3,3,-1.864848943264267,-1.2105033069180609,-1.55810824712617,-1.2323438521727907,-1.399333492460888,-1.0723824685029313,-1.1800236278646548,-1.2105033069180609,0.30674069613809696,-0.021840545254729893,-0.46551545080337897,-0.13812083841512957,0.6848253153996122,0.0
fixed_abc,h4_linear,5.0,-1.866327536053431,-1.866327347125298,0.1666652971160359,1.0710747619380179e-07,0.40824829046386285,0.4082482904638628,-0.8164965809277263,0.0009886259671011569,4.790428800936967e-08,0.8141569710489736,1.6329928994967435,0.7446544044110073,5.125357272420083e-06,0.7450143842343636,5.298034721241774e-06,-1.8663274834385055,-1.8663273471252968,-1.8663274834385082,-1.8663273471252964,1,1,-1.8663274834385082,-1.8663273471252964,3,3,-1.862494722139545,-1.2010641756947305,-1.556552423603553,-1.2258654358359902,-1.3979058046333093,-1.0673047077157982,-1.1712764199419257,-1.2010641756947305,0.30594229853599186,-0.024801260141259718,-0.46458891750623565,-0.13375946797893223,0.6912183021976193,0.0
