Molecule,Geometry_Param,E_HF,E_FCI,E_CISD,V_Identity,V_Optimized,a,b,c,Sum_CommSq_Identity,Sum_CommSq_Optimized,Sum_Sexp_Identity,Sum_Sexp_Optimized,Coarse_Entropy_Identity,Coarse_Entropy_Optimized,Fine_Entropy_Identity,Fine_Entropy_Optimized,Edec_Identity,Edec_Optimized,Ecoupled_Identity,Ecoupled_Optimized,Kcoupled_Identity,Kcoupled_Optimized,EBO_Identity,EBO_Optimized,NumSectors_Identity,NumSectors_Optimized,DenseDiagnosticsSkipped,Workflow
h2o,0.958,-74.96304853546573,-75.0126289449298,-75.01192289590936,0.007478502049706771,0.0019113502629508658,-0.41290964875307895,-0.4129095317429028,0.8117951346013758,0.031973573624223914,0.009631903993784498,0.01849352985479317,-0.07481110888416102,0.08158976146955446,0.16228020738650725,0.08945180983904752,0.16228020738650703,-74.98813371451791,-74.96281184249436,-75.012386339829,-75.01192476131479,304,365,-74.98813371451779,-75.01262894492982,57,1001,False,shared_abc
h2o,1.1293333333333333,-74.92998360847618,-75.00603473413533,-75.00392753642045,0.01576047886655883,0.002839659912182811,0.41187858709637304,0.4118787141395744,-0.8128418999597807,0.03975187511051989,0.008792666580448218,0.03945591603981225,0.06155857751524843,0.14494820669588565,0.27885612408029464,0.16612451720976548,0.27885612408029464,-74.96749059818771,-74.92939225816443,-75.00557709820218,-75.00587665790259,317,418,-74.96749059818784,-75.00603473413454,57,1001,False,shared_abc
h2o,1.3006666666666666,-74.83571572704696,-74.94852404744275,-74.9428344275383,0.0292218405348443,0.004068718328009503,0.4110689357485353,0.41106902307111876,-0.8136612245485971,0.04784713630127367,0.007406791835189729,0.07480442240957523,0.05240735419891496,0.22627646987985023,0.44967591698832604,0.2731230142294784,0.44967591698832615,-74.89262798033273,-74.83458306980603,-74.94778510053598,-74.94830349804212,344,444,-74.89262798033273,-74.94852404744256,57,1001,False,shared_abc
h2o,1.472,-74.72297165015353,-74.88343181126854,-74.87025212143614,0.04776727154465165,0.006511852428975154,0.4109569153116919,0.4109570364287237,-0.8137743716579059,0.05586407504666767,0.00562603811989154,0.12651037836537277,0.05680327910217027,0.3172604747528864,0.6741419232110233,0.4032515935894425,0.6741419232110231,-74.8071392794153,-74.72133573670499,-74.88308439881675,-74.88315660799618,354,456,-74.80713927941535,-74.88343181126834,57,1001,False,shared_abc
h2o,1.6433333333333333,-74.60908395860662,-74.8277744569619,-74.8017668464971,0.06939073815902946,0.013113022149303235,0.41191919510432684,0.41191913982410183,-0.8128008359685511,0.06233747623575837,0.003811199631592471,0.19223208447416662,0.08796279860534839,0.406598968728318,0.9461134455916411,0.5320704892121726,0.9461134455916412,-74.72853631234068,-74.65032794020016,-74.82694583601084,-74.82691806194399,336,459,-74.72853631234068,-74.82777445696198,57,1001,False,shared_abc
h2o,1.8146666666666667,-74.50244469068971,-74.78779735400708,-74.74418803225564,0.09016840596109069,0.028707401664414635,0.41438801969830824,0.4143880439804821,-0.8102870590948276,0.06566990510146817,0.00246823491234051,0.2627355405741343,0.16610206482471895,0.4837598886306783,1.2456343505638277,0.6250209077315798,1.2456343505638277,-74.68978589636484,-74.69085083143463,-74.7873343874059,-74.78680197903859,335,288,-74.68979294279087,-74.78779735400718,57,1001,False,shared_abc
h2o,1.986,-74.4081219286569,-74.7634086496263,-74.7124588371035,0.11380707187781444,0.01615812792079946,0.5685678535561393,0.5685678596410817,-0.5945260169965011,0.06815245224112405,3.5150454105476783,0.3560221017560289,3.8719917667159875,0.6861347222888681,3.6606686892785225,0.8241392242378627,3.6606686892785225,-74.71193978342112,-74.3619880475371,-74.76273343316859,-74.76329764576398,338,960,-74.72279420015333,-74.76340864962783,57,1001,False,shared_abc
h2o,2.1573333333333333,-74.32755700899047,-74.7503671988667,-74.72446186856497,0.11484695053351456,0.010835128603100042,0.5701805036239779,0.5701805054066186,-0.5914291035630221,0.06605594757032411,0.7763937186363542,0.3606597673268535,3.9077424725365146,0.54557975635498,2.66932597755922,0.6254382371731521,2.6693259775592195,-74.72402583756141,-74.47721414410618,-74.7496452639746,-74.74987406689515,302,859,-74.72403218909037,-74.75036719887018,57,1001,False,shared_abc
h2o,2.328666666666667,-74.26125344782287,-74.74383916750543,-74.73072384439398,0.11999448525567931,0.00408791352511495,0.573524206092212,0.5735242237721525,-0.5849273029811892,0.06689174654274008,0.8238187390947206,0.3839789449358917,3.9731620645162504,0.5576007770932783,2.8108655908984796,0.6040740777726467,2.8108655908984796,-74.73040220401325,-73.54130153741227,-74.74292708531217,-74.74298824949452,280,994,-74.73356795978046,-74.74383916751452,57,1001,False,shared_abc
h2o,2.5,-74.27993450940825,-74.74059586931907,-74.73518724118864,0.027768020710899583,0.0020533029774942313,-0.5758884673518893,-0.5758884578122143,0.5802628346962792,0.01145397253897163,0.4022549338583003,1.5612634653336104,-4.014497813687183,0.3517773944743814,2.8342270171940753,0.39173398398493225,2.8342270171940753,-74.73489672116176,-74.09693310991881,-74.73972277893303,-74.73983396790545,398,925,-74.73490172832203,-74.74059586933895,57,1001,False,shared_abc
