system,x_metric,case,pearson_r,n
h4_linear,k,initial,0.00830427446586,10
h4_linear,k,fixed,0.602922896838,10
h4_linear,k,shared,0.829617377384,10
h4_linear,k,local,0.629590228133,10
h4_linear,edec_error,initial,-0.0999688945189,10
h4_linear,edec_error,fixed,0.770411699527,10
h4_linear,edec_error,shared,0.455915070798,10
h4_linear,edec_error,local,0.4266019461,10
h4_linear,ebo_error,initial,-0.103740635706,10
h4_linear,ebo_error,fixed,0.770461975361,10
h4_linear,ebo_error,shared,0.741954392022,9
h4_linear,ebo_error,local,0.376288555191,10
lih,k,initial,0.616160397178,10
lih,k,fixed,,10
lih,k,shared,0.183430839784,10
lih,k,local,0.366381798475,10
lih,edec_error,initial,0.996341435248,10
lih,edec_error,fixed,0.446072826449,10
lih,edec_error,shared,-0.124040933176,10
lih,edec_error,local,0.322330894752,10
lih,ebo_error,initial,0.775209837824,10
lih,ebo_error,fixed,0.447035008267,10
lih,ebo_error,shared,-0.0602110084346,10
lih,ebo_error,local,0.874129680328,10
h2o,k,initial,-0.525308996729,10
h2o,k,fixed,-0.395378676709,10
h2o,k,shared,0.662569650661,10
h2o,k,local,0.594616735405,10
h2o,edec_error,initial,0.49852242275,10
h2o,edec_error,fixed,0.547973580775,10
h2o,edec_error,shared,0.311783964015,10
h2o,edec_error,local,0.117378752313,10
h2o,ebo_error,initial,0.452186377026,10
h2o,ebo_error,fixed,0.546606170346,10
h2o,ebo_error,shared,0.0631148108859,10
h2o,ebo_error,local,-0.0295248794403,10
