Workflow,Baseline,Molecule,Geometry_Param,E_HF,E_FCI,E_CISD,n_spatial,V_Identity,V_Optimized,Sum_CommSq_Identity,Sum_CommSq_Optimized,Sum_Sexp_Identity,Sum_Sexp_Optimized,Coarse_Entropy_Identity,Coarse_Entropy_Optimized,Fine_Entropy_Identity,Fine_Entropy_Optimized,Edec_Identity,Edec_Optimized,Ecoupled_Identity,Ecoupled_Optimized,Kcoupled_Identity,Kcoupled_Optimized,EBO_Identity,EBO_Optimized,NumSectors_Identity,NumSectors_Optimized,DenseDiagnosticsSkipped,Edge_Count,Mean_Abs_Expectation,Min_Abs_Expectation,Max_Variance,Degree_Sequence,Components,Component_Count,Cycle_Count,Algebraic_Rank,Vertices_Involved,Edges,Sources,Expectations,Variances,Thetas_JSON,Rotation_Pairs_JSON,Optimizer_Success,Optimizer_Status,Optimizer_Message,Optimizer_Nit,Optimizer_Nfev,N_Restarts,Initial_Frame_Edges_JSON,Initial_Frame_Sources_JSON,Initial_Frame_Expectations_JSON,Initial_Frame_Variances_JSON,Elapsed_Seconds
quartet_baseline,greedy,h2o,0.958,-74.96304853546573,-75.0126289449298,-75.01192289590936,7,0.12883362828968015,0.020914264853561737,0.7010485319359453,0.09929002813005577,6.935132813036281,6.989526242915469,0.08156046443133855,0.02466358788219549,0.08943743535875577,0.02653586509589015,-74.98815798261722,-75.0059019808248,-75.01262894492868,-75.01262894492584,69,170,-74.98815798261711,-75.00590198082477,31,31,False,7,0.9985037489879244,0.9948823710999096,0.010209067674621708,3 3 3 2 1 1 1,0-1;2-3-4-5-6,2,2,5,7,0-1 2-3 4-5 5-6 3-5 2-6 3-6,matching_seed matching_seed matching_seed greedy_added greedy_added greedy_added greedy_added,0.999997191779 0.998926414869 0.9948823711 0.999927853409 0.998604267238 0.998599379146 0.998588765374,5.61643368524e-06 0.00214601767796 0.0102090676746 0.000144287976172 0.00278951745423 0.00279927996863 0.00282047766826,"[0.03169318206435812,0.00012120422739776516,-0.020032175072221107,-0.5450801201383481,0.00024571918730492676,-3.3897996360358684e-07,0.0030565000571646924,0.5988682509238014,1.5585894275022747,6.358285566586985e-05,-4.0808936612052614e-07,-2.3574777583226987,0.03398986823620057,0.0070142816476681585,-0.0014289327961237348,-0.03506332778241012,-0.007017227657042391,-0.0014120558683535795,-0.00674456563153162,-5.313163628324205e-06,0.7864126869965604]","[[0,1],[0,2],[0,3],[0,4],[0,5],[0,6],[1,2],[1,3],[1,4],[1,5],[1,6],[2,3],[2,4],[2,5],[2,6],[3,4],[3,5],[3,6],[4,5],[4,6],[5,6]]",True,0,Optimization terminated successfully.,4,933,1,"[[0,1],[2,3],[4,5],[5,6],[3,5],[2,6],[3,6]]","[""matching_seed"",""matching_seed"",""matching_seed"",""greedy_added"",""greedy_added"",""greedy_added"",""greedy_added""]","[0.9999976012552455,0.9988708306593157,0.9949443031511882,0.9999278436228297,0.9985986557939558,0.9985896020832927,0.9985832619598836]","[4.797483755036858e-06,0.0022570636579686276,0.010085833626996554,0.0001443075477978173,0.0028007246465046043,0.002818806611131097,0.0028314689335585674]",266.3633045000024
quartet_baseline,ring,h2o,0.958,-74.96304853546573,-75.0126289449298,-75.01192289590936,7,0.2003478361574047,0.04799256347854708,0.8520174702074358,0.24688588604243156,6.898934065006935,6.975940867274293,0.08158976146955446,0.025113720392544725,0.08945180983904608,0.027017161763987357,-74.98813371451793,-75.00571458984001,-75.01262894492892,-75.01262894493004,69,126,-74.98813371451784,-75.00571458984011,57,57,False,7,0.996562981039185,0.9939578949467138,0.012047703073097438,2 2 2 2 2 2 2,0-1-2-3-4-5-6,1,1,6,7,0-1 1-2 2-3 3-4 4-5 5-6 0-6,ring ring ring ring ring ring ring,0.99913488397 0.994944559597 0.999069126858 0.994945750168 0.993957894947 0.999927845684 0.99396080605,0.00172948363426 0.0100853233284 0.00186087975897 0.0100829542222 0.0120477030731 0.000144303426018 0.0120419160356,"[0.03936682015523939,-1.0434943338098261e-05,-0.022587899919789385,-6.430456805198801e-09,0.00032366748172383707,3.422074761099941e-08,-0.032412825563590576,0.59777876676518,-5.622468384954707e-08,-0.007204725164381534,5.627153926340973e-05,-2.366446995473799,-1.4870101145828576e-09,0.006710694898087158,-0.0014102130453346902,-7.610969059202759e-10,-0.006874801469440019,-0.001431459763116841,1.4811663434084636e-08,-7.256261522184183e-09,0.7853984438111938]","[[0,1],[0,2],[0,3],[0,4],[0,5],[0,6],[1,2],[1,3],[1,4],[1,5],[1,6],[2,3],[2,4],[2,5],[2,6],[3,4],[3,5],[3,6],[4,5],[4,6],[5,6]]",True,0,Optimization terminated successfully.,3,882,1,[],[],[],[],204.05144219996873
quartet_baseline,balanced_tree,h2o,0.958,-74.96304853546573,-75.0126289449298,-75.01192289590936,7,0.1638445617379114,0.041292200818191294,0.7828997155708962,0.21105158694353002,6.917348961045204,6.9793074016844585,0.08158976146955446,0.02508014866174306,0.08945180983904608,0.02697196503013728,-74.98813371451793,-75.00572535443044,-75.01262894492892,-75.01262894492994,69,126,-74.98813371451784,-75.00572535443051,57,57,False,7,0.9970439145263509,0.9939606551916034,0.01204221593107857,3 3 3 2 1 1 1,0-1-2-3-4-5-6,1,1,6,7,0-1 0-2 1-3 1-4 2-5 2-6 0-6,balanced_tree balanced_tree balanced_tree balanced_tree balanced_tree balanced_tree balanced_tree,0.999130185221 0.994947727749 0.994946479719 0.999133325533 0.998586715497 0.998602312774 0.993960655192,0.00173887297928 0.0100790190478 0.010081502495 0.00173259781019 0.00282457163209 0.00279342092275 0.0120422159311,"[0.0363019376727006,0.0010949635991707,-0.0202245520725201,1.0779202900130414e-08,0.00029358373828695537,-2.210304437485047e-06,0.033538917154682234,0.596394754518181,-5.794576667411696e-08,-0.007182111187579273,-6.0251018414651636e-05,-2.338993281101443,1.6715960267617045e-08,0.006931927965471062,-0.0014262044919307764,-1.530885766412254e-08,-0.0066892148984595235,-0.0014342506659679166,1.0332847576612946e-08,-4.2999134780776055e-09,0.7864477826407141]","[[0,1],[0,2],[0,3],[0,4],[0,5],[0,6],[1,2],[1,3],[1,4],[1,5],[1,6],[2,3],[2,4],[2,5],[2,6],[3,4],[3,5],[3,6],[4,5],[4,6],[5,6]]",True,0,Optimization terminated successfully.,4,1184,1,[],[],[],[],240.56550040002912
quartet_baseline,greedy,h2o,1.1293333333333333,-74.92998360847618,-75.00603473413533,-75.00392753642045,7,0.20162383863734412,0.02615822117622313,0.6699243574319004,0.08069880239419,6.897754855077757,6.9868887613541855,0.14492069127395743,0.03273519760898295,0.16611072589521886,0.035928347790293455,-74.96751856238824,-74.99858982775908,-75.00603473413477,-75.00603473412735,70,135,-74.9675185623883,-74.99858982775906,31,31,False,7,0.9981269659077412,0.9924615935227814,0.01501998538222138,3 3 3 2 1 1 1,0-1;2-3-4-5-6,2,2,5,7,0-1 2-3 4-5 5-6 3-5 2-6 3-6,matching_seed matching_seed matching_seed greedy_added greedy_added greedy_added greedy_added,0.999998519829 0.99850903482 0.992461593523 0.999864160833 0.99869836321 0.998692040965 0.998665048174,2.96033995073e-06 0.00297970738225 0.0150199853822 0.000271659881467 0.00260157932207 0.00261420731321 0.00266812155506,"[0.022269564922244873,-1.6278896464370072e-06,-0.008389657597463686,0.48260912524077365,0.0003018654573351389,-4.5090927643876203e-07,-0.004179138522174608,0.38500807549214777,-1.5710413299991044,0.00017729003195599482,-2.54093513578586e-07,0.7822768322281856,0.019796487406877502,-0.012690073970293427,-0.00010184318077938699,-0.011737624439663448,0.012676559300650649,-0.00011575709683187303,0.012231734562971318,8.071352864953946e-06,0.7860428244529071]","[[0,1],[0,2],[0,3],[0,4],[0,5],[0,6],[1,2],[1,3],[1,4],[1,5],[1,6],[2,3],[2,4],[2,5],[2,6],[3,4],[3,5],[3,6],[4,5],[4,6],[5,6]]",True,0,Optimization terminated successfully.,6,1385,1,"[[0,1],[2,3],[4,5],[5,6],[3,5],[2,6],[3,6]]","[""matching_seed"",""matching_seed"",""matching_seed"",""greedy_added"",""greedy_added"",""greedy_added"",""greedy_added""]","[0.9999985186742303,0.9984456607859449,0.9925374279417227,0.999864121694827,0.9986849802115941,0.998683445757923,0.9986513672117981]","[2.962649345072954e-06,0.0031062624577179454,0.01486945413482954,0.00027173814743219893,0.0026283102997678442,0.002631375169081629,0.002695446766006304]",279.4568523999769
quartet_baseline,ring,h2o,1.1293333333333333,-74.92998360847618,-75.00603473413533,-75.00392753642045,7,0.41232577175345364,0.0714208463908802,1.0358021511206155,0.22448893820362883,6.789540949174937,6.964150882816013,0.14494820669588565,0.033096928636226056,0.1661245172097643,0.03627427075778229,-74.96749059818774,-74.99848066723563,-75.00603473413483,-75.00603473413447,70,125,-74.96749059818787,-74.9984806672357,57,57,False,7,0.9948786975451451,0.9911894113413904,0.017543550844708045,2 2 2 2 2 2 2,0-1-2-3-4-5-6,1,1,6,7,0-1 1-2 2-3 3-4 4-5 5-6 0-6,ring ring ring ring ring ring ring,0.99870948456 0.99230129848 0.998591260646 0.992304452397 0.991189411341 0.999864153309 0.991190822083,0.00257936545072 0.0153381330352 0.0028154941612 0.0153318737539 0.0175435508447 0.000271674926969 0.0175407542181,"[0.02608867747704414,7.471003100033115e-06,-0.008922167840349635,1.9804343559997016e-09,0.0003704878085708924,-7.54514467566886e-07,-0.018859835429065233,0.3856781593855595,6.335958799663049e-07,-0.012635263769679982,3.4174681969522515e-08,0.7829858938901442,-9.774211065529305e-10,-0.012399333429239497,-0.00011118873848197366,-4.405603475472503e-09,0.01259345727051601,-0.00011255909161117041,-9.238425492784133e-09,-4.931108024590241e-10,0.7853980907239214]","[[0,1],[0,2],[0,3],[0,4],[0,5],[0,6],[1,2],[1,3],[1,4],[1,5],[1,6],[2,3],[2,4],[2,5],[2,6],[3,4],[3,5],[3,6],[4,5],[4,6],[5,6]]",True,0,Optimization terminated successfully.,3,905,1,[],[],[],[],209.963549099979
quartet_baseline,balanced_tree,h2o,1.1293333333333333,-74.92998360847618,-75.00603473413533,-75.00392753642045,7,0.316644647986818,0.05864138810359776,0.8883875543073669,0.18788261729582753,6.838509416222369,6.9705777602142005,0.14494820669588565,0.0330821167976552,0.1661245172097643,0.036255788849010845,-74.96749059818774,-74.99848185206442,-75.00603473413483,-75.00603473413378,70,124,-74.96749059818787,-74.99848185206447,57,57,False,7,0.9957968228877431,0.9911911931903052,0.017540018541978952,3 3 3 2 1 1 1,0-1-2-3-4-5-6,1,1,6,7,0-1 0-2 1-3 1-4 2-5 2-6 0-6,balanced_tree balanced_tree balanced_tree balanced_tree balanced_tree balanced_tree balanced_tree,0.998714149197 0.992297111459 0.99229352773 0.998716102988 0.998666290145 0.998699385506 0.99119119319,0.00257004819444 0.0153464425903 0.0153535548249 0.00256614563301 0.00266564092842 0.0025995373906 0.017540018542,"[0.031895844027799866,0.0005298595951336822,-0.011041786717656642,1.760896131182384e-08,0.0004451734997770931,-2.0066889404986162e-07,0.017845177109160244,0.38647526724104625,-4.89399916061596e-07,-0.012623423419652915,-7.761478098836658e-06,0.791485792581932,3.771134344949011e-08,-0.012630666465174974,-0.00010774777579970914,-3.350803569365944e-08,0.012362226384354847,-9.094780544005186e-05,8.753233436119646e-09,-1.3606669804415515e-09,0.7857689223703511]","[[0,1],[0,2],[0,3],[0,4],[0,5],[0,6],[1,2],[1,3],[1,4],[1,5],[1,6],[2,3],[2,4],[2,5],[2,6],[3,4],[3,5],[3,6],[4,5],[4,6],[5,6]]",True,0,Optimization terminated successfully.,4,1201,1,[],[],[],[],249.1990018999786
quartet_baseline,greedy,h2o,1.3006666666666666,-74.83571572704696,-74.94852404744275,-74.9428344275383,7,0.27053414659060937,0.03832729766080878,0.5287840290969348,0.08268146552807418,6.860341421999029,6.980753408628666,0.22625166781904565,0.04317721105584649,0.2731141828897121,0.04881549321015268,-74.89265702320043,-74.94083908809519,-74.94852404744233,-74.94852404744202,69,121,-74.89265702320057,-74.94083908809536,31,31,False,7,0.9972504869469525,0.9874539516710392,0.024934693329248914,4 3 2 2 1 1 1,0-1;2-3-4-5-6,2,2,5,7,0-1 2-3 4-5 5-6 2-6 3-5 2-5,matching_seed matching_seed matching_seed greedy_added greedy_added greedy_added greedy_added,0.998756618481 0.998596472826 0.987453951671 0.999787777468 0.99873984601 0.998735777397 0.998682964777,0.0024852170411 0.00280508446017 0.0249346933292 0.000424400026343 0.00251871999283 0.00252684694706 0.00263233586405,"[0.02419156931607458,-3.1788787540843856e-06,-0.005264740621049769,-2.1627202409123482e-07,0.0005013273653108859,-5.905764449445378e-07,0.0009464598015246203,0.24430438334216087,3.0473089279291307e-06,-0.018465759255273072,1.4533369705701985e-05,0.7861760577895911,-3.149415484512037e-08,-0.01865905083735666,-0.00285520218623689,3.8066347951989494e-08,0.018591331919027627,-0.0028541348883407746,-5.3627490192262257e-08,1.7836614026328984e-09,0.7849349159471984]","[[0,1],[0,2],[0,3],[0,4],[0,5],[0,6],[1,2],[1,3],[1,4],[1,5],[1,6],[2,3],[2,4],[2,5],[2,6],[3,4],[3,5],[3,6],[4,5],[4,6],[5,6]]",True,0,Optimization terminated successfully.,3,844,1,"[[0,1],[2,3],[4,5],[5,6],[2,6],[3,5],[2,5]]","[""matching_seed"",""matching_seed"",""matching_seed"",""greedy_added"",""greedy_added"",""greedy_added"",""greedy_added""]","[0.9999990517768734,0.9984756739311073,0.9887139156800536,0.9997876455511564,0.9987251462873397,0.998724516943581,0.9986648486663633]","[1.8964453539771498e-06,0.003046328567821166,0.022444792940615854,0.0004246638032752159,0.0025480821733320225,0.002549339255810801,0.0026685200381897367]",226.67257729999255
quartet_baseline,ring,h2o,1.3006666666666666,-74.83571572704696,-74.94852404744275,-74.9428344275383,7,0.7465352818450139,0.10118596550314152,1.2133737466527237,0.1889953963701094,6.6105825905173266,6.9491169892979485,0.22627646987985023,0.04316483453631676,0.27312301422947666,0.04885803485384253,-74.89262798033273,-74.94084788368967,-74.94852404744259,-74.94852404744229,70,124,-74.89262798033278,-74.94084788368974,57,57,False,7,0.9927309984711356,0.9874539931866141,0.024934611339810342,2 2 2 2 2 2 2,0-1-2-3-4-5-6,1,1,6,7,0-1 1-2 2-3 3-4 4-5 5-6 0-6,ring ring ring ring ring ring ring,0.998726210299 0.988564170293 0.998565423013 0.988564421779 0.987453993187 0.999787784758 0.987454985969,0.00254595686113 0.0227408812126 0.00286709596346 0.0227403839923 0.0249346113398 0.000424385449556 0.0249326506843,"[0.027542459697052858,4.624317695058681e-06,-0.00565346157129371,-2.0960361529853615e-08,0.0005530063362423625,-1.6767241169082904e-06,-0.011029143401384544,0.2393313524862977,8.379297502624747e-07,-0.01837359244893983,-4.0566411128179695e-05,0.7848469092698496,-2.4157892353457106e-09,-0.018573843689005203,-0.0028450696445822717,1.8270832220475802e-08,0.01877440899363105,-0.0028533094119133125,-1.0380519282640557e-08,-6.851497092424431e-09,0.7853981639108086]","[[0,1],[0,2],[0,3],[0,4],[0,5],[0,6],[1,2],[1,3],[1,4],[1,5],[1,6],[2,3],[2,4],[2,5],[2,6],[3,4],[3,5],[3,6],[4,5],[4,6],[5,6]]",True,0,Optimization terminated successfully.,3,884,1,[],[],[],[],195.75916650000727
quartet_baseline,balanced_tree,h2o,1.3006666666666666,-74.83571572704696,-74.94852404744275,-74.9428344275383,7,0.5587389707896601,0.08066747347934711,0.9928975180605724,0.15565649332916506,6.708988162032613,6.959453265992782,0.22627646987985023,0.043153923005975696,0.27312301422947666,0.048842321562712954,-74.89262798033273,-74.9408471954675,-74.94852404744259,-74.9485240474421,70,124,-74.89262798033278,-74.94084719546746,57,57,False,7,0.9942076094275404,0.9874551315639494,0.024932363148023384,3 3 3 2 1 1 1,0-1-2-3-4-5-6,1,1,6,7,0-1 0-2 1-3 1-4 2-5 2-6 0-6,balanced_tree balanced_tree balanced_tree balanced_tree balanced_tree balanced_tree balanced_tree,0.998735497111 0.988552511638 0.988552099863 0.998736734685 0.998681258884 0.998740032247 0.987455131564,0.00252740681004 0.0227639317336 0.0227647458558 0.00252493479045 0.00263574315385 0.00251834798758 0.024932363148,"[0.03087486407927433,0.00024425553676452646,-0.0063775632011551855,-6.435123301824943e-09,0.0006142552760311638,3.415219196480732e-07,0.009265348243401125,0.24057665787843155,-2.583222211440708e-07,-0.018368043662471984,1.9731619036308855e-05,0.7871626714946448,1.0611113912817815e-08,-0.01877015883042455,-0.002824586294704654,-1.496468298685239e-08,0.018556758091067885,-0.0028180662133914635,3.8188436072105035e-09,1.7906691906589289e-09,0.7857719874658964]","[[0,1],[0,2],[0,3],[0,4],[0,5],[0,6],[1,2],[1,3],[1,4],[1,5],[1,6],[2,3],[2,4],[2,5],[2,6],[3,4],[3,5],[3,6],[4,5],[4,6],[5,6]]",True,0,Optimization terminated successfully.,3,887,1,[],[],[],[],197.2730021000025
quartet_baseline,greedy,h2o,1.472,-74.72297165015353,-74.88343181126854,-74.87025212143614,7,0.6191328330599764,0.11904098174152156,0.7809307009480295,0.10645291342348748,6.668219145722905,6.939925510076227,0.3172395747266873,0.05956350053333925,0.4032513041743181,0.06900665952142462,-74.8071662905862,-74.87608840945964,-74.88343181126844,-74.8834318112651,70,179,-74.80716629058612,-74.8760884094596,31,31,False,7,0.9914179300108898,0.9807940835531864,0.03804296566706522,3 3 3 2 1 1 1,0-1;2-3-4-5-6,2,2,5,7,0-1 2-3 4-5 2-6 3-6 5-6 2-5,matching_seed matching_seed matching_seed greedy_added greedy_added greedy_added greedy_added,0.99947821951 0.980794885716 0.980813719745 0.999998498999 0.980794083553 0.999022930979 0.999023171574,0.0010432887248 0.0380413921538 0.0380044471593 3.00199979131e-06 0.0380429656671 0.00195318337902 0.00195270265772,"[1.7270956687279875,4.10418749172229,2.332339700604661,-1.3816592606477196,1.6015301367841446,-1.62250158536819,1.3774420072533553,0.495906283221654,0.04708818531886825,-0.19221297228074175,-1.5533277374504546,-0.09425425866070487,-0.04633563594873691,0.013680276099030313,0.04369103428350917,-0.395492948825961,0.907119836814952,3.221739019685784,1.888233381889565,0.1374833083576909,-1.8416334577840212]","[[0,1],[0,2],[0,3],[0,4],[0,5],[0,6],[1,2],[1,3],[1,4],[1,5],[1,6],[2,3],[2,4],[2,5],[2,6],[3,4],[3,5],[3,6],[4,5],[4,6],[5,6]]",True,0,Optimization terminated successfully.,13,2806,1,"[[0,1],[2,3],[4,5],[2,6],[3,6],[5,6],[2,5]]","[""matching_seed"",""matching_seed"",""matching_seed"",""greedy_added"",""greedy_added"",""greedy_added"",""greedy_added""]","[0.9994584003755996,0.9807866284408331,0.980802195719307,0.9960360278323381,0.9774446734161636,0.9714944017955986,0.967916273461063]","[0.0010829059186475698,0.03805758947166327,0.03802705287218611,0.007912231259977753,0.044601910410369316,0.05619862727981195,0.06313808756924866]",616.8163922000094
