Workflow,Molecule,Geometry_Param,E_HF,E_FCI,E_CISD,n_spatial,Pool_Singles,Pool_Quartets,V_Identity,V_Optimized,Single_Expectations,Single_Variances,Quartet_Expectations,Quartet_Variances,Thetas_JSON,Rotation_Pairs_JSON,Optimizer_Success,Optimizer_Status,Optimizer_Message,Optimizer_Nit,Optimizer_Nfev,N_Restarts,Elapsed_Seconds
mixed_pool,h2o,0.958,-74.96304853546573,-75.0126289449298,-75.01192289590936,7,0 1 2,3-6 4-5,0.12394921554347038,0.003537966891551947,"[0.9999977092905095,0.9999999999999998,0.9991866757158288]","[4.581413733717454e-06,4.440892098500626e-16,0.0016259870719512737]","[0.9991180698286426,0.9999278394644391]","[0.0017630825418876173,0.0001443158639788944]","[0.024509221760839892,-4.5370634127875136e-07,-0.015952135959115935,1.7385333146916472e-07,0.00023654575910660758,-7.393973264710761e-09,0.7879584956114386,0.4193518370709057,1.5707963375857583,-3.26771361543003e-09,3.403091624711905e-10,0.48207802824801743,-0.8644499510385786,-0.007447907954154208,-2.579613078232407e-07,-0.07334681975223292,0.009891189650653661,0.6833075785572628,0.959431946204309,-0.0021296081538306815,-0.0016252706651042421]","[[0,1],[0,2],[0,3],[0,4],[0,5],[0,6],[1,2],[1,3],[1,4],[1,5],[1,6],[2,3],[2,4],[2,5],[2,6],[3,4],[3,5],[3,6],[4,5],[4,6],[5,6]]",True,0,Optimization terminated successfully.,2,492,24,1209.2906334999934
mixed_pool,h2o,1.1293333333333333,-74.92998360847618,-75.00603473413533,-75.00392753642045,7,0 1 2,3-6 4-5,0.22995864608263406,0.005479060352146403,"[0.9999985148761306,0.9999999998652909,0.9987576560857707]","[2.9702455333069366e-06,2.694182654749966e-10,0.0024831444100573696]","[0.9986384262878389,0.999864164831509]","[0.002721293541348424,0.0002716518857890371]","[0.023768715005525746,1.657450691804164e-07,-0.009055553360837567,8.78948087238155e-07,0.0003618991463781636,-4.301050168903855e-09,0.0014999678019697103,0.4029276630372587,1.5705950813102991,-2.600354421267756e-06,-4.379590766503483e-09,0.0003528248545639606,1.5721796093265477,0.012901151422849628,3.3671828511138144e-09,2.3056160039295605e-05,0.01744395120979674,5.3000003327322,0.15756698968168142,-0.00031816287826397867,-9.451476315343047e-05]","[[0,1],[0,2],[0,3],[0,4],[0,5],[0,6],[1,2],[1,3],[1,4],[1,5],[1,6],[2,3],[2,4],[2,5],[2,6],[3,4],[3,5],[3,6],[4,5],[4,6],[5,6]]",True,0,Optimization terminated successfully.,3,845,24,1150.5366414000018
mixed_pool,h2o,1.3006666666666666,-74.83571572704696,-74.94852404744275,-74.9428344275383,7,0 1 2,3-6 4-5,0.39227587917059226,0.00569790707773199,"[0.9999990059536404,0.9999999994215519,0.9987614962391519]","[1.988091731019992e-06,1.1568961344465833e-09,0.0024754736301305647]","[0.9986011057075216,0.9997876711986106]","[0.0027958316797153104,0.00042461251925896004]","[0.025892796362871246,-1.2024473097025428e-06,-0.005738907435974683,-4.790037877490954e-07,0.0005359458018407211,-4.758884780318162e-10,-0.002243063145834075,0.2492769407907645,1.571302590756488,9.409191543182336e-06,8.173438642412148e-09,0.004792343958753271,1.5686918262560252,0.018572758020295874,8.290802667622152e-09,1.3661151224771533e-05,0.025392112773787105,0.8794553000760039,-0.04259731540552086,-0.006427550810714859,-0.0007787825161559938]","[[0,1],[0,2],[0,3],[0,4],[0,5],[0,6],[1,2],[1,3],[1,4],[1,5],[1,6],[2,3],[2,4],[2,5],[2,6],[3,4],[3,5],[3,6],[4,5],[4,6],[5,6]]",True,0,Optimization terminated successfully.,2,537,24,1149.748132300003
mixed_pool,h2o,1.472,-74.72297165015353,-74.88343181126854,-74.87025212143614,7,0 1 2,3-6 4-5,0.5896282889068152,0.0037580683584029773,"[0.9999994245995525,0.9999999429818895,0.9990606250659665]","[1.15080056395378e-06,1.140362176910159e-07,0.001877867442800385]","[0.9999999913059673,0.999060098947628]","[1.7388065320922408e-08,0.0018789186907556266]","[0.024948066767312895,-2.1638824254534003e-07,1.0163975295990031e-11,-0.0031198908453856492,0.0006367904145144169,8.0406946586292e-09,-0.0006198763349015207,1.5643960081822728,0.0009806718422112719,-0.0001517114239216208,-2.7559593177198236e-08,1.5701338497580197,-0.15331873613539748,0.023445312929427947,-3.989471311161928e-06,0.00010022929641234162,-1.5790466087694098e-05,-2.2780005553485422e-06,0.0,-1.6205523430589473e-07,1.930318309193544e-05]","[[0,1],[0,2],[0,3],[0,4],[0,5],[0,6],[1,2],[1,3],[1,4],[1,5],[1,6],[2,3],[2,4],[2,5],[2,6],[3,4],[3,5],[3,6],[4,5],[4,6],[5,6]]",False,1,Maximum number of function evaluations has been exceeded.,1,500,1,112.02271809999365
mixed_pool,h2o,1.6433333333333333,-74.60908395860662,-74.8277744569619,-74.8017668464971,7,0 1 2,3-6 4-5,0.031878361074314965,0.0024180319820450435,"[0.9999996937891262,0.9993955982169955,1.0]","[6.124216537228833e-07,0.001208438264493683,0.0]","[1.0,0.9993953265370528]","[0.0,0.0012089812958976376]","[0.025108100916312343,-9.33619649457567e-09,-4.5935795544103925e-10,-0.001775755235064748,0.0007271872450385354,8.84444464510799e-10,-7.512604370747938e-09,1.856897697892654e-11,0.09246355275981115,-0.027111663417956594,1.2151113347318732e-08,1.110276514632546e-11,-2.953654273403189e-09,1.1739166753163863e-11,-2.0674803152728532e-09,1.1790449833074313e-11,-1.6201366418214483e-09,0.05572808507673671,-1e-11,-2.7585782157567606e-10,-1.666746566280697e-10]","[[0,1],[0,2],[0,3],[0,4],[0,5],[0,6],[1,2],[1,3],[1,4],[1,5],[1,6],[2,3],[2,4],[2,5],[2,6],[3,4],[3,5],[3,6],[4,5],[4,6],[5,6]]",False,1,Maximum number of function evaluations has been exceeded.,1,500,1,112.03854780000984
mixed_pool,h2o,1.8146666666666667,-74.50244469068971,-74.78779735400708,-74.74418803225564,7,0 1 2,3-6 4-5,0.02522092813628707,0.0013420299205877395,"[0.9999998521133536,0.9996645776899521,0.9999999999999997]","[2.9577327087526584e-07,0.000670732111969774,6.661338147750939e-16]","[0.9999999999999999,0.9996644426829704]","[2.220446049250313e-16,0.0006710020353462021]","[0.025146183635714615,-5.257097849598116e-09,3.141582706934295e-11,-0.001027825290722921,0.000774754099376711,-3.270421396052627e-09,-8.206039867961484e-07,1.7973805973773844e-10,0.06356179848911025,-0.029452779386699702,-9.95118225212617e-10,-1.342751630772846e-10,-5.042317143313101e-08,2.1902622679182268e-08,3.0874422399587095e-09,1.871905805581752e-11,1.3913077093006199e-11,0.49342217522557985,0.0003081209466635915,1.3831674475744432e-11,1.1067784890096874e-11]","[[0,1],[0,2],[0,3],[0,4],[0,5],[0,6],[1,2],[1,3],[1,4],[1,5],[1,6],[2,3],[2,4],[2,5],[2,6],[3,4],[3,5],[3,6],[4,5],[4,6],[5,6]]",False,1,Maximum number of function evaluations has been exceeded.,1,500,1,116.21611469998606
mixed_pool,h2o,1.986,-74.4081219286569,-74.7634086496263,-74.7124588371035,7,0 1 2,3-6 4-5,0.29312061591459415,0.007408829847783904,"[0.999999923551139,0.9998162959094999,1.0]","[1.528977161546763e-07,0.0003673744338072993,0.0]","[0.998220149908872,0.9982560942962726]","[0.0035565323159091333,0.003484770200351317]","[0.025606895659881928,-3.6454629401671494e-09,-0.0006818400097650916,-1.1244606219938312e-07,0.0008314287392864215,-2.7052261077627506e-08,-1.0931653383209364e-06,0.04520532031140009,4.618819571175323e-06,-0.032841782585938895,2.261445168362218e-06,-5.068357288336243e-08,2.0307422357575674e-11,3.9511242988685185e-08,1.8616701773605082e-11,-7.879634342458342e-10,0.08183313928770744,3.120067775559403,-2.2768453716351247e-06,0.07220654213230415,0.00037308365497334977]","[[0,1],[0,2],[0,3],[0,4],[0,5],[0,6],[1,2],[1,3],[1,4],[1,5],[1,6],[2,3],[2,4],[2,5],[2,6],[3,4],[3,5],[3,6],[4,5],[4,6],[5,6]]",False,1,Maximum number of function evaluations has been exceeded.,1,500,1,122.71045869999216
mixed_pool,h2o,2.1573333333333333,-74.32755700899047,-74.7503671988667,-74.72446186856497,7,0 1 2,3-6 4-5,0.013852829979608905,0.00033859574236272394,"[0.9999999687206386,0.9999153781439908,1.0]","[6.255872186944345e-08,0.00016923655115996805,0.0]","[1.0,0.9999153481007875]","[0.0,0.00016929663248088644]","[0.025316938368066796,-3.164495768822268e-08,3.768522166624565e-11,-0.0004366636681896832,0.0007043725848075032,3.670930750429291e-11,-3.039174939738395e-07,1.784879418807093e-11,0.0325415201806347,-0.026981679193946315,1.0630870818922939e-11,1.127208278500714e-11,-1.011726863192281e-08,4.803805821157418e-09,2.0284182490424978e-11,1.0729217193356798e-11,-8.558804736822288e-10,-0.2705098160321027,0.0,-1.3772234725651411e-09,1.7700127755399585e-11]","[[0,1],[0,2],[0,3],[0,4],[0,5],[0,6],[1,2],[1,3],[1,4],[1,5],[1,6],[2,3],[2,4],[2,5],[2,6],[3,4],[3,5],[3,6],[4,5],[4,6],[5,6]]",False,1,Maximum number of function evaluations has been exceeded.,1,500,1,124.7172336000076
mixed_pool,h2o,2.328666666666667,-74.26125344782287,-74.74383916750543,-74.73072384439398,7,0 1 2,3-6 4-5,0.009787667616776186,0.00015484861109382742,"[0.9999999863511225,0.9999613005546368,0.9999999999999989]","[2.7297754723321077e-08,7.73973930792149e-05,2.220446049250313e-15]","[0.9999999999999999,0.9999612872905344]","[2.220446049250313e-16,7.742392025744671e-05]","[0.025317425621325145,2.7283146033682005e-07,3.44785998087538e-11,-0.00031749361125831297,0.0006308138542040042,3.727205169656835e-11,-3.978091754009443e-06,2.7427823735022365e-11,0.024637006590857134,-0.024499748525411754,1.0267087025428817e-11,1.6153335262892445e-11,-1.0013567723325438e-07,1.0262620655902573e-07,2.0105201011912633e-11,1.8549547678392715e-11,-1.4879955543817679e-09,1.6180339748439998,0.0,-5.873673880929031e-11,-3.030040687452206e-10]","[[0,1],[0,2],[0,3],[0,4],[0,5],[0,6],[1,2],[1,3],[1,4],[1,5],[1,6],[2,3],[2,4],[2,5],[2,6],[3,4],[3,5],[3,6],[4,5],[4,6],[5,6]]",False,1,Maximum number of function evaluations has been exceeded.,1,500,1,114.0137318999914
mixed_pool,h2o,2.5,-74.27993450940825,-74.74059586931907,-74.73518724118864,7,0 1 2,3-6 4-5,0.6411114275925499,0.00202380445445427,"[1.0,0.9999999705749016,0.9999826661179977]","[0.0,5.885019582763107e-08,3.4667463541193655e-05]","[0.9995081592410378,0.9994970542577277]","[0.0009834396105923293,0.0010056385301249193]","[-8.567146148774357,0.0011385252769675256,-7.626302455492263e-05,0.006693673022549539,0.00764536631173138,-1.5707954478256907,-0.0010114716752119461,2.1031885623745288e-05,-0.005919242605432705,-0.006718079958759694,0.7283743211547496,0.29709924724464387,-0.020592618679902294,-1.537527643399629,-1.581012660973301,0.024717119962172455,-0.1369203893753156,0.20086898461170002,-0.4213056039269429,0.1628068977299658,-0.1037880924937978]","[[0,1],[0,2],[0,3],[0,4],[0,5],[0,6],[1,2],[1,3],[1,4],[1,5],[1,6],[2,3],[2,4],[2,5],[2,6],[3,4],[3,5],[3,6],[4,5],[4,6],[5,6]]",False,1,Maximum number of function evaluations has been exceeded.,6,1500,24,1528.4567652999976
