Workflow,Molecule,Geometry_Param,E_HF,E_FCI,E_CISD,V_Identity,V_Optimized,a,b,c,Sum_CommSq_Identity,Sum_CommSq_Optimized,Sum_Sexp_Identity,Sum_Sexp_Optimized,Coarse_Entropy_Identity,Coarse_Entropy_Optimized,Fine_Entropy_Identity,Fine_Entropy_Optimized,Edec_Identity,Edec_Optimized,Ecoupled_Identity,Ecoupled_Optimized,Kcoupled_Identity,Kcoupled_Optimized,EBO_Identity,EBO_Optimized,NumSectors_Identity,NumSectors_Optimized,DenseDiagnosticsSkipped
fixed_abc,h2o,0.958,-74.96304853546573,-75.0126289449298,-75.01192289590936,0.007478502049706771,0.0019209397625159102,0.40824829046386285,0.4082482904638628,-0.8164965809277263,0.031973573624223914,0.009672588123981782,0.01849352985479317,0.004718092504522229,0.08158976146955446,0.024731191550815854,0.08945180983904752,0.026590299246346438,-74.98813371451791,-75.00584962709605,-75.012386339829,-75.0116315777,304,203,-74.98813371451779,-75.0058496270961,57,57,False
fixed_abc,h2o,1.1293333333333333,-74.92998360847618,-75.00603473413533,-75.00392753642045,0.01576047886655883,0.0028515303076306372,0.40824829046386285,0.4082482904638628,-0.8164965809277263,0.03975187511051989,0.00885536634800944,0.03945591603981225,0.007012940999568609,0.14494820669588565,0.032759243015406316,0.16612451720976548,0.03591777068235409,-74.96749059818771,-74.99857683749154,-75.00557709820218,-75.005082104454,317,217,-74.96749059818784,-74.99857683749154,57,57,False
fixed_abc,h2o,1.3006666666666666,-74.83571572704696,-74.94852404744275,-74.9428344275383,0.0292218405348443,0.004082295385407541,0.40824829046386285,0.4082482904638628,-0.8164965809277263,0.04784713630127367,0.007462895367483553,0.07480442240957523,0.010058622687536541,0.22627646987985023,0.04295409857069196,0.2731230142294784,0.04861773806942123,-74.89262798033273,-74.94090055495786,-74.94778510053598,-74.94775812773015,344,239,-74.89262798033273,-74.94090055495779,57,57,False
fixed_abc,h2o,1.472,-74.72297165015353,-74.88343181126854,-74.87025212143614,0.04776727154465165,0.006533215733961779,0.40824829046386285,0.4082482904638628,-0.8164965809277263,0.05586407504666767,0.00564673729254429,0.12651037836537277,0.016159238233137096,0.3172604747528864,0.06219437438055593,0.4032515935894425,0.07073633688363815,-74.8071392794153,-74.8759458346472,-74.88308439881675,-74.88246242900692,354,226,-74.80713927941535,-74.87594583464724,57,57,False
fixed_abc,h2o,1.6433333333333333,-74.60908395860662,-74.8277744569619,-74.8017668464971,0.06939073815902946,0.013172341901073565,0.40824829046386285,0.4082482904638628,-0.8164965809277263,0.06233747623575837,0.0038120616691908545,0.19223208447416662,0.03292433965806739,0.406598968728318,0.1064356063057424,0.5320704892121726,0.11565938949268222,-74.72853631234068,-74.81994406297974,-74.82694583601084,-74.82710353325818,336,264,-74.72853631234068,-74.81994406297963,57,57,False
fixed_abc,h2o,1.8146666666666667,-74.50244469068971,-74.78779735400708,-74.74418803225564,0.09016840596109069,0.028926262585944405,0.40824829046386285,0.4082482904638628,-0.8164965809277263,0.06566990510146817,0.0024009476307844295,0.2627355405741343,0.07422151609801143,0.4837598886306783,0.19282184235631894,0.6250209077315798,0.19963570221969063,-74.68978589636484,-74.778188878522,-74.7873343874059,-74.78751756145483,335,272,-74.68979294279087,-74.778188878522,57,57,False
fixed_abc,h2o,1.986,-74.4081219286569,-74.7634086496263,-74.7124588371035,0.11380707187781444,0.03171053060712825,0.40824829046386285,0.4082482904638628,-0.8164965809277263,0.06815245224112405,0.012635492958283279,0.3560221017560289,1.5513072971998467,0.6861347222888681,0.40718739648578656,0.8241392242378627,0.6073595385860366,-74.71193978342112,-74.7128913450468,-74.76273343316859,-74.76263352392809,338,351,-74.72279420015333,-74.71289384724967,57,57,False
fixed_abc,h2o,2.1573333333333333,-74.32755700899047,-74.7503671988667,-74.72446186856497,0.11484695053351456,0.01632680285936366,0.40824829046386285,0.4082482904638628,-0.8164965809277263,0.06605594757032411,0.025148186680358137,0.3606597673268535,1.5921152310255227,0.54557975635498,0.23819492397121045,0.6254382371731521,0.3568613621878826,-74.72402583756141,-74.72478849471207,-74.7496452639746,-74.74942916620292,302,63,-74.72403218909037,-74.72489355991556,57,57,False
fixed_abc,h2o,2.328666666666667,-74.26125344782287,-74.74383916750543,-74.73072384439398,0.11999448525567931,0.00808293024126403,0.40824829046386285,0.4082482904638628,-0.8164965809277263,0.06689174654274008,0.007574181402653201,0.3839789449358917,1.613008611716844,0.5576007770932783,0.13454451385513044,0.6040740777726467,0.18556767980054178,-74.73040220401325,-74.73048628041884,-74.74292708531217,-74.74285259357309,280,47,-74.73356795978046,-74.73090402472612,57,57,False
fixed_abc,h2o,2.5,-74.27993450940825,-74.74059586931907,-74.73518724118864,0.027768020710899583,0.003929941148636784,0.40824829046386285,0.4082482904638628,-0.8164965809277263,0.01145397253897163,0.001566541243573796,1.5612634653336104,1.623316598345604,0.3517773944743814,0.073578275075482,0.39173398398493225,0.09734242732875215,-74.73489672116176,-74.7342050347341,-74.73972277893303,-74.7399431752882,398,181,-74.73490172832203,-74.73420526008985,57,57,False
