Workflow,Molecule,Geometry_Param,E_FCI,E_CISD,V_Identity,V_Optimized,a,b,c,Sum_CommSq_Identity,Sum_CommSq_Optimized,Sum_Sexp_Identity,Sum_Sexp_Optimized,Coarse_Entropy_Identity,Coarse_Entropy_Optimized,Fine_Entropy_Identity,Fine_Entropy_Optimized,Edec_Identity,Edec_Optimized,Ecoupled_Identity,Ecoupled_Optimized,Kcoupled_Identity,Kcoupled_Optimized,EBO_Identity,EBO_Optimized,NumSectors_Identity,NumSectors_Optimized
fixed_abc,h4_rectangle,0.6,-0.7481274582814754,-0.7480029040150019,0.0025710375800004712,0.0012065430522699289,0.40824829046386285,0.4082482904638628,-0.8164965809277263,0.03761423623528508,0.014958607531768794,0.0063222068904650415,0.0029614592756878463,0.025366996552315776,0.02178378178159566,0.028654958840086633,0.028590027592557847,-0.733739458540037,-0.7414040971468122,-0.7480597279568375,-0.7472770013089883,46,54,-0.7337394585400372,-0.7414040971468121,3,3
fixed_abc,h4_rectangle,0.8666666666666667,-1.766437585851369,-1.7660991277370186,0.005412405380361548,0.001340616438541816,0.40824829046386285,0.4082482904638628,-0.8164965809277263,0.04071103230631831,0.007970208605695948,0.013367048943486661,0.003290787469923223,0.0474869737151093,0.02352425126863906,0.053971250478392976,0.02788109790577101,-1.745077859205535,-1.7603357498570495,-1.7661822052584366,-1.7660131674210344,46,54,-1.7450778592055363,-1.7603357498570484,3,3
fixed_abc,h4_rectangle,1.1333333333333333,-2.0628542356096418,-2.0620299630304255,0.01010473843578294,0.0015584145988241144,0.40824829046386285,0.4082482904638628,-0.8164965809277263,0.04711995299698381,0.004943724588058045,0.025138436391677448,0.0038263776985449803,0.07952638544068867,0.02709695092152805,0.09308184234108424,0.030570504559341037,-2.032168123491274,-2.057240537520898,-2.0621771141986858,-2.062604629410128,51,54,-2.032168123491278,-2.0572405375208986,3,3
fixed_abc,h4_rectangle,1.4,-2.12697158934672,-2.1251002382139315,0.01743903153769745,0.0016750647790662772,0.40824829046386285,0.4082482904638628,-0.8164965809277263,0.05753457577056356,0.0031448691348688095,0.04389672297027099,0.00411341659963301,0.12372765443970617,0.029308219427132902,0.15035821464293533,0.0326432780799788,-2.083533353558012,-2.122014199238159,-2.1269209765941257,-2.126128463952717,63,49,-2.0835333535580136,-2.1220141992381625,3,3
fixed_abc,h4_rectangle,1.6666666666666665,-2.105287296697386,-2.101203155652229,0.028448358711586626,0.0016653990647147766,0.40824829046386285,0.4082482904638628,-0.8164965809277263,0.07286529682418123,0.0020046650111904363,0.0729421230563993,0.004089744024723109,0.18250479583124984,0.029610080907162873,0.23150592223008407,0.03279782390987465,-2.044171849896939,-2.1011136768756433,-2.105285178587219,-2.1047727645381533,59,49,-2.0441718498969386,-2.1011136768756438,3,3
fixed_abc,h4_rectangle,1.9333333333333331,-2.0537629778783146,-2.0452365726050257,0.043800136723283,0.0015225668741135094,0.40824829046386285,0.4082482904638628,-0.8164965809277263,0.09366396068310183,0.0012502754927903642,0.11545013469642451,0.0037383713545128127,0.2554419625256345,0.027730446230361753,0.3399416739005079,0.030525495393861745,-1.9685530858340174,-2.050472122675355,-2.053607237028749,-2.0527885802775847,63,42,-1.9685530858340181,-2.0504721226753553,3,3
fixed_abc,h4_rectangle,2.2,-1.9987726399455596,-1.9822364180513665,0.06248598503114946,0.0012320859932384524,0.40824829046386285,0.4082482904638628,-0.8164965809277263,0.11907022128003794,0.0007347055244799625,0.17095593422755787,0.0030238951552880936,0.3352646288871667,0.023249511597612918,0.4699949463799801,0.025377163810820676,-1.8947709632957161,-1.996438866621328,-1.9987726399455599,-1.9980334566808664,69,42,-1.8947709632957161,-1.9964388666213297,3,3
fixed_abc,h4_rectangle,2.466666666666667,-1.9526029365083866,-1.9235751234582843,0.08146239754536783,0.0008487968677334914,0.40824829046386285,0.4082482904638628,-0.8164965809277263,0.14626300755787858,0.0003929364489032053,0.23270117456930162,0.002081946194206068,0.4094754972487291,0.016839795679782076,0.6034220349986095,0.018197022388968535,-1.8856529553683614,-1.9511693233887986,-1.9526029365083812,-1.9521427194009406,69,48,-1.88565295536836,-1.9511693233888006,3,3
fixed_abc,h4_rectangle,2.7333333333333334,-1.9190336765191645,-1.8733356860342052,0.0973743496109858,0.00048829322145424,0.40824829046386285,0.4082482904638628,-0.8164965809277263,0.17145986918165818,0.00018736976164879075,0.29002790358526015,0.0011970010180165024,0.4677424795214712,0.010332926305981382,0.7209745774438598,0.011049115926307904,-1.8783907346075075,-1.9182843429714653,-1.9190336765191616,-1.9182843429714653,69,1,-1.8783907346075046,-1.9182843429714653,3,3
fixed_abc,h4_rectangle,3.0,-1.897024093176678,-1.8496407741843461,0.10867459589793761,0.00023635227158519184,0.40824829046386285,0.4082482904638628,-0.8164965809277263,0.19198476626628827,7.949333980148566e-05,0.3348657232421765,0.0005791585870796378,0.5073410006479655,0.005390937277431335,0.8456177801034771,0.005705915974402918,-1.8734287185508816,-1.8966885144929742,-1.8970240931766755,-1.896688514492975,69,1,-1.873428718550879,-1.8966885144929755,3,3
